Ticker,Year,Health_Score
AXISBANK.NS,2023,19.397650678458955
HDFCBANK.NS,2023,66.05754740269903
ICICIBANK.NS,2023,60.0929006426818
KOTAKBANK.NS,2023,89.27335640138408
SBIN.NS,2023,22.664538961364595
AXISBANK.NS,2024,66.20676838419274
HDFCBANK.NS,2024,30.30361570489545
ICICIBANK.NS,2024,65.86274964127719
KOTAKBANK.NS,2024,80.13013386474121
SBIN.NS,2024,21.664663461538463
AXISBANK.NS,2025,62.54091277773307
HDFCBANK.NS,2025,29.588487093545375
ICICIBANK.NS,2025,67.59872229130043
KOTAKBANK.NS,2025,84.59024991548834
SBIN.NS,2025,23.898531375166883
AXISBANK.NS,2026,52.08026414927094
HDFCBANK.NS,2026,33.868717590745916
ICICIBANK.NS,2026,78.66314319904268
KOTAKBANK.NS,2026,73.70505344995142
SBIN.NS,2026,21.190476190476193
